cnt,exercise,ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, MAG X, MAG Y, MAG Z, raw
225,1,                -1164,-164,-245,                -28,-6,2,                -313,316,426,                bytearray(b'\xc3;t\xfb\\\xff\x0b\xff\xe4\xff\xfa\xff\x02\x00\xc7\xfe<\x01\xaa\x01'),
226,1,                -911,-122,-228,                -9,-4,-21,                -316,324,430,                bytearray(b'\xc9;q\xfc\x86\xff\x1c\xff\xf7\xff\xfc\xff\xeb\xff\xc4\xfeD\x01\xae\x01'),
227,1,                -954,-128,-214,                -10,-33,2,                -316,316,433,                bytearray(b'\xcf;F\xfc\x80\xff*\xff\xf6\xff\xdf\xff\x02\x00\xc4\xfe<\x01\xb1\x01'),
228,1,                -849,-121,-150,                -16,-32,-24,                -316,312,427,                bytearray(b'\xd6;\xaf\xfc\x87\xffj\xff\xf0\xff\xe0\xff\xe8\xff\xc4\xfe8\x01\xab\x01'),
229,1,                -1035,-128,-253,                -31,-83,57,                -307,318,421,                bytearray(b'\xdc;\xf5\xfb\x80\xff\x03\xff\xe1\xff\xad\xff9\x00\xcd\xfe>\x01\xa5\x01'),
230,1,                -1080,-140,-269,                -23,-78,9,                -316,313,421,                bytearray(b'\xe2;\xc8\xfbt\xff\xf3\xfe\xe9\xff\xb2\xff\t\x00\xc4\xfe9\x01\xa5\x01'),
231,1,                -959,-127,-187,                -23,-78,31,                -318,313,421,                bytearray(b'\xe8;A\xfc\x81\xffE\xff\xe9\xff\xb2\xff\x1f\x00\xc2\xfe9\x01\xa5\x01'),
232,1,                -933,-120,-164,                -12,-30,-11,                -312,316,412,                bytearray(b'\xef;[\xfc\x88\xff\\\xff\xf4\xff\xe2\xff\xf5\xff\xc8\xfe<\x01\x9c\x01'),
308,2,                -951,-131,-261,                -4,-26,0,                -312,315,441,                bytearray(b'\xca=I\xfc}\xff\xfb\xfe\xfc\xff\xe6\xff\x00\x00\xc8\xfe;\x01\xb9\x01'),
309,2,                -950,-132,-256,                -2,-32,0,                -307,306,445,                bytearray(b'\xd0=J\xfc|\xff\x00\xff\xfe\xff\xe0\xff\x00\x00\xcd\xfe2\x01\xbd\x01'),
310,2,                -950,-130,-259,                -3,-26,0,                -309,316,438,                bytearray(b'\xd6=J\xfc~\xff\xfd\xfe\xfd\xff\xe6\xff\x00\x00\xcb\xfe<\x01\xb6\x01'),
311,2,                -954,-129,-263,                -2,-32,0,                -307,324,439,                bytearray(b'\xdc=F\xfc\x7f\xff\xf9\xfe\xfe\xff\xe0\xff\x00\x00\xcd\xfeD\x01\xb7\x01'),
312,2,                -951,-132,-253,                2,-65,4,                -313,307,444,                bytearray(b'\xe3=I\xfc|\xff\x03\xff\x02\x00\xbf\xff\x04\x00\xc7\xfe3\x01\xbc\x01'),
313,2,                -948,-132,-248,                -1,-42,2,                -307,327,438,                bytearray(b'\xe9=L\xfc|\xff\x08\xff\xff\xff\xd6\xff\x02\x00\xcd\xfeG\x01\xb6\x01'),
314,2,                -962,-131,-271,                4,-53,3,                -303,307,436,                bytearray(b'\xef=>\xfc}\xff\xf1\xfe\x04\x00\xcb\xff\x03\x00\xd1\xfe3\x01\xb4\x01'),
315,2,                -967,-124,-239,                7,-138,22,                -304,315,433,                bytearray(b'\xf5=9\xfc\x84\xff\x11\xff\x07\x00v\xff\x16\x00\xd0\xfe;\x01\xb1\x01'),
316,2,                -969,-146,-233,                2,-161,16,                -310,316,435,                bytearray(b'\xfc=7\xfcn\xff\x17\xff\x02\x00_\xff\x10\x00\xca\xfe<\x01\xb3\x01'),
317,2,                -932,-122,-225,                23,-155,-4,                -310,319,429,                bytearray(b'\x02>\\\xfc\x86\xff\x1f\xff\x17\x00e\xff\xfc\xff\xca\xfe?\x01\xad\x01'),
318,2,                -949,-125,-155,                2,-42,-16,                -307,318,418,                bytearray(b'\x08>K\xfc\x83\xffe\xff\x02\x00\xd6\xff\xf0\xff\xcd\xfe>\x01\xa2\x01'),
319,2,                -1003,-132,-236,                -23,30,-2,                -321,315,430,                bytearray(b'\x0e>\x15\xfc|\xff\x14\xff\xe9\xff\x1e\x00\xfe\xff\xbf\xfe;\x01\xae\x01'),
320,2,                -963,-131,-250,                -7,9,-24,                -312,316,432,                bytearray(b'\x15>=\xfc}\xff\x06\xff\xf9\xff\t\x00\xe8\xff\xc8\xfe<\x01\xb0\x01'),
321,2,                -973,-131,-259,                5,-57,0,                -310,315,426,                bytearray(b'\x1b>3\xfc}\xff\xfd\xfe\x05\x00\xc7\xff\x00\x00\xca\xfe;\x01\xaa\x01'),
322,2,                -1009,-145,-228,                18,-95,7,                -310,313,429,                bytearray(b'!>\x0f\xfco\xff\x1c\xff\x12\x00\xa1\xff\x07\x00\xca\xfe9\x01\xad\x01'),
323,2,                -955,-132,-203,                18,-64,-13,                -315,316,430,                bytearray(b"\'>E\xfc|\xff5\xff\x12\x00\xc0\xff\xf3\xff\xc5\xfe<\x01\xae\x01"),
324,2,                -987,-133,-177,                11,-45,-3,                -306,321,417,                bytearray(b'.>%\xfc{\xffO\xff\x0b\x00\xd3\xff\xfd\xff\xce\xfeA\x01\xa1\x01'),
325,2,                -968,-130,-202,                9,-12,-56,                -313,316,436,                bytearray(b'4>8\xfc~\xff6\xff\t\x00\xf4\xff\xc8\xff\xc7\xfe<\x01\xb4\x01'),
326,2,                -966,-136,-193,                0,-17,-37,                -304,325,421,                bytearray(b':>:\xfcx\xff?\xff\x00\x00\xef\xff\xdb\xff\xd0\xfeE\x01\xa5\x01'),
