cnt, time stamp, exercise, sample,         ACC X, ACC Y, ACC Z,         GYR X, GYR Y, GYR Z,         MAG X, MAG Y, MAG Z,         raw
223, 24113, 1, 1,                 381, 405, 841,                -3, -25, 0,                -85, -121, 43,                bytearray(b'1^}\x01\x95\x01I\x03\xfd\xff\xe7\xff\x00\x00\xab\xff\x87\xff+\x00')
224, 24119, 1, 1,                 386, 404, 843,                -4, -25, 0,                -84, -130, 40,                bytearray(b'7^\x82\x01\x94\x01K\x03\xfc\xff\xe7\xff\x00\x00\xac\xff~\xff(\x00')
225, 24125, 1, 1,                 391, 405, 844,                -5, -25, 0,                -93, -133, 37,                bytearray(b'=^\x87\x01\x95\x01L\x03\xfb\xff\xe7\xff\x00\x00\xa3\xff{\xff%\x00')
226, 24131, 1, 1,                 385, 398, 839,                -4, -24, -1,                -91, -127, 34,                bytearray(b'C^\x81\x01\x8e\x01G\x03\xfc\xff\xe8\xff\xff\xff\xa5\xff\x81\xff"\x00')
227, 24138, 1, 1,                 381, 409, 842,                -3, -25, 0,                -76, -133, 36,                bytearray(b'J^}\x01\x99\x01J\x03\xfd\xff\xe7\xff\x00\x00\xb4\xff{\xff$\x00')
228, 24144, 1, 1,                 383, 403, 842,                -7, -26, 0,                -82, -132, 46,                bytearray(b'P^\x7f\x01\x93\x01J\x03\xf9\xff\xe6\xff\x00\x00\xae\xff|\xff.\x00')
229, 24150, 1, 1,                 391, 391, 842,                -6, -25, 1,                -97, -126, 45,                bytearray(b'V^\x87\x01\x87\x01J\x03\xfa\xff\xe7\xff\x01\x00\x9f\xff\x82\xff-\x00')
230, 24156, 1, 1,                 392, 419, 849,                -8, -23, -3,                -91, -126, 43,                bytearray(b'\\^\x88\x01\xa3\x01Q\x03\xf8\xff\xe9\xff\xfd\xff\xa5\xff\x82\xff+\x00')
231, 24163, 1, 1,                 371, 400, 844,                -6, -23, 2,                -91, -124, 39,                bytearray(b"c^s\x01\x90\x01L\x03\xfa\xff\xe9\xff\x02\x00\xa5\xff\x84\xff\'\x00")
232, 24169, 1, 1,                 386, 396, 839,                -4, -28, 2,                -94, -130, 36,                bytearray(b'i^\x82\x01\x8c\x01G\x03\xfc\xff\xe4\xff\x02\x00\xa2\xff~\xff$\x00')
233, 24175, 1, 1,                 385, 399, 842,                -4, -26, 0,                -84, -126, 46,                bytearray(b'o^\x81\x01\x8f\x01J\x03\xfc\xff\xe6\xff\x00\x00\xac\xff\x82\xff.\x00')
234, 24181, 1, 1,                 387, 402, 838,                -4, -25, 0,                -87, -124, 43,                bytearray(b'u^\x83\x01\x92\x01F\x03\xfc\xff\xe7\xff\x00\x00\xa9\xff\x84\xff+\x00')
235, 24188, 1, 1,                 389, 403, 839,                -4, -24, 0,                -85, -121, 40,                bytearray(b'|^\x85\x01\x93\x01G\x03\xfc\xff\xe8\xff\x00\x00\xab\xff\x87\xff(\x00')
236, 24194, 1, 1,                 382, 404, 843,                -4, -25, 0,                -100, -129, 43,                bytearray(b'\x82^~\x01\x94\x01K\x03\xfc\xff\xe7\xff\x00\x00\x9c\xff\x7f\xff+\x00')
