cnt, time stamp, exercise, sample, ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, MAG X, MAG Y, MAG Z, raw
307, -28745, 2, 2,                 383, 403, 840,                -3, -25, 0,                -88, -139, 42,                bytearray(b'\xb7\x8f\x7f\x01\x93\x01H\x03\xfd\xff\xe7\xff\x00\x00\xa8\xffu\xff*\x00')
308, -28739, 2, 2,                 384, 405, 839,                -3, -25, 0,                -85, -130, 48,                bytearray(b'\xbd\x8f\x80\x01\x95\x01G\x03\xfd\xff\xe7\xff\x00\x00\xab\xff~\xff0\x00')
309, -28733, 2, 2,                 385, 403, 840,                -4, -25, 0,                -84, -127, 34,                bytearray(b'\xc3\x8f\x81\x01\x93\x01H\x03\xfc\xff\xe7\xff\x00\x00\xac\xff\x81\xff"\x00')
310, -28727, 2, 2,                 387, 402, 839,                -3, -25, 0,                -76, -132, 39,                bytearray(b"\xc9\x8f\x83\x01\x92\x01G\x03\xfd\xff\xe7\xff\x00\x00\xb4\xff|\xff\'\x00")
311, -28720, 2, 2,                 385, 404, 838,                -4, -25, 0,                -99, -121, 42,                bytearray(b'\xd0\x8f\x81\x01\x94\x01F\x03\xfc\xff\xe7\xff\x00\x00\x9d\xff\x87\xff*\x00')
312, -28714, 2, 2,                 384, 405, 840,                -4, -25, 0,                -85, -126, 42,                bytearray(b'\xd6\x8f\x80\x01\x95\x01H\x03\xfc\xff\xe7\xff\x00\x00\xab\xff\x82\xff*\x00')
313, -28708, 2, 2,                 384, 402, 840,                -4, -25, 0,                -90, -127, 43,                bytearray(b'\xdc\x8f\x80\x01\x92\x01H\x03\xfc\xff\xe7\xff\x00\x00\xa6\xff\x81\xff+\x00')
314, -28702, 2, 2,                 386, 403, 840,                -4, -25, 0,                -91, -129, 48,                bytearray(b'\xe2\x8f\x82\x01\x93\x01H\x03\xfc\xff\xe7\xff\x00\x00\xa5\xff\x7f\xff0\x00')
315, -28695, 2, 2,                 383, 404, 840,                -4, -25, 0,                -84, -123, 36,                bytearray(b'\xe9\x8f\x7f\x01\x94\x01H\x03\xfc\xff\xe7\xff\x00\x00\xac\xff\x85\xff$\x00')
316, -28689, 2, 2,                 386, 402, 840,                -4, -25, 0,                -87, -118, 34,                bytearray(b'\xef\x8f\x82\x01\x92\x01H\x03\xfc\xff\xe7\xff\x00\x00\xa9\xff\x8a\xff"\x00')
317, -28683, 2, 2,                 385, 403, 840,                -4, -25, 0,                -87, -123, 37,                bytearray(b'\xf5\x8f\x81\x01\x93\x01H\x03\xfc\xff\xe7\xff\x00\x00\xa9\xff\x85\xff%\x00')
318, -28677, 2, 2,                 383, 404, 840,                -4, -25, 0,                -84, -124, 48,                bytearray(b'\xfb\x8f\x7f\x01\x94\x01H\x03\xfc\xff\xe7\xff\x00\x00\xac\xff\x84\xff0\x00')
319, -28670, 2, 2,                 386, 404, 840,                -4, -25, 0,                -94, -132, 45,                bytearray(b'\x02\x90\x82\x01\x94\x01H\x03\xfc\xff\xe7\xff\x00\x00\xa2\xff|\xff-\x00')
320, -28664, 2, 2,                 384, 402, 841,                -4, -25, 0,                -91, -132, 43,                bytearray(b'\x08\x90\x80\x01\x92\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa5\xff|\xff+\x00')
321, -28658, 2, 2,                 384, 403, 840,                -4, -25, 0,                -99, -127, 43,                bytearray(b'\x0e\x90\x80\x01\x93\x01H\x03\xfc\xff\xe7\xff\x00\x00\x9d\xff\x81\xff+\x00')
322, -28652, 2, 2,                 387, 404, 838,                -3, -25, 0,                -84, -136, 42,                bytearray(b'\x14\x90\x83\x01\x94\x01F\x03\xfd\xff\xe7\xff\x00\x00\xac\xffx\xff*\x00')
323, -28645, 2, 2,                 385, 405, 838,                -4, -25, 0,                -93, -132, 45,                bytearray(b'\x1b\x90\x81\x01\x95\x01F\x03\xfc\xff\xe7\xff\x00\x00\xa3\xff|\xff-\x00')
324, -28639, 2, 2,                 383, 403, 841,                -4, -25, 0,                -90, -126, 46,                bytearray(b'!\x90\x7f\x01\x93\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa6\xff\x82\xff.\x00')
325, -28633, 2, 2,                 384, 403, 841,                -4, -25, 0,                -87, -130, 40,                bytearray(b"\'\x90\x80\x01\x93\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa9\xff~\xff(\x00")
326, -28627, 2, 2,                 387, 403, 840,                -3, -25, 0,                -91, -132, 42,                bytearray(b'-\x90\x83\x01\x93\x01H\x03\xfd\xff\xe7\xff\x00\x00\xa5\xff|\xff*\x00')
327, -28620, 2, 2,                 385, 403, 840,                -4, -25, 0,                -85, -130, 49,                bytearray(b'4\x90\x81\x01\x93\x01H\x03\xfc\xff\xe7\xff\x00\x00\xab\xff~\xff1\x00')
328, -28614, 2, 2,                 384, 403, 841,                -3, -25, 0,                -82, -132, 49,                bytearray(b':\x90\x80\x01\x93\x01I\x03\xfd\xff\xe7\xff\x00\x00\xae\xff|\xff1\x00')
329, -28608, 2, 2,                 385, 404, 840,                -4, -25, 0,                -87, -135, 40,                bytearray(b'@\x90\x81\x01\x94\x01H\x03\xfc\xff\xe7\xff\x00\x00\xa9\xffy\xff(\x00')
330, -28602, 2, 2,                 385, 404, 845,                -7, -24, 0,                -94, -123, 39,                bytearray(b"F\x90\x81\x01\x94\x01M\x03\xf9\xff\xe8\xff\x00\x00\xa2\xff\x85\xff\'\x00")
331, -28595, 2, 2,                 385, 399, 840,                -5, -25, 0,                -91, -127, 42,                bytearray(b'M\x90\x81\x01\x8f\x01H\x03\xfb\xff\xe7\xff\x00\x00\xa5\xff\x81\xff*\x00')
332, -28589, 2, 2,                 384, 401, 840,                -4, -25, 0,                -93, -135, 37,                bytearray(b'S\x90\x80\x01\x91\x01H\x03\xfc\xff\xe7\xff\x00\x00\xa3\xffy\xff%\x00')
333, -28583, 2, 2,                 383, 402, 840,                -4, -27, 1,                -82, -133, 46,                bytearray(b'Y\x90\x7f\x01\x92\x01H\x03\xfc\xff\xe5\xff\x01\x00\xae\xff{\xff.\x00')
334, -28577, 2, 2,                 385, 402, 838,                -4, -26, 0,                -90, -132, 39,                bytearray(b"_\x90\x81\x01\x92\x01F\x03\xfc\xff\xe6\xff\x00\x00\xa6\xff|\xff\'\x00")
335, -28570, 2, 2,                 386, 403, 841,                -3, -25, 0,                -91, -129, 45,                bytearray(b'f\x90\x82\x01\x93\x01I\x03\xfd\xff\xe7\xff\x00\x00\xa5\xff\x7f\xff-\x00')
336, -28564, 2, 2,                 386, 403, 841,                -4, -25, 0,                -88, -127, 46,                bytearray(b'l\x90\x82\x01\x93\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa8\xff\x81\xff.\x00')
337, -28558, 2, 2,                 385, 403, 841,                -4, -24, 0,                -90, -124, 40,                bytearray(b'r\x90\x81\x01\x93\x01I\x03\xfc\xff\xe8\xff\x00\x00\xa6\xff\x84\xff(\x00')
338, -28552, 2, 2,                 384, 404, 842,                -4, -25, 0,                -88, -124, 40,                bytearray(b'x\x90\x80\x01\x94\x01J\x03\xfc\xff\xe7\xff\x00\x00\xa8\xff\x84\xff(\x00')
339, -28545, 2, 2,                 384, 403, 841,                -4, -25, 0,                -79, -127, 43,                bytearray(b'\x7f\x90\x80\x01\x93\x01I\x03\xfc\xff\xe7\xff\x00\x00\xb1\xff\x81\xff+\x00')
340, -28539, 2, 2,                 385, 402, 840,                -4, -25, 0,                -91, -133, 40,                bytearray(b'\x85\x90\x81\x01\x92\x01H\x03\xfc\xff\xe7\xff\x00\x00\xa5\xff{\xff(\x00')
341, -28533, 2, 2,                 386, 403, 839,                -4, -25, 0,                -91, -126, 43,                bytearray(b'\x8b\x90\x82\x01\x93\x01G\x03\xfc\xff\xe7\xff\x00\x00\xa5\xff\x82\xff+\x00')
342, -28527, 2, 2,                 385, 403, 841,                -4, -25, 0,                -87, -129, 42,                bytearray(b'\x91\x90\x81\x01\x93\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa9\xff\x7f\xff*\x00')
343, -28520, 2, 2,                 383, 404, 841,                -4, -25, 0,                -90, -127, 42,                bytearray(b'\x98\x90\x7f\x01\x94\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa6\xff\x81\xff*\x00')
344, -28514, 2, 2,                 384, 404, 841,                -3, -25, 0,                -90, -127, 40,                bytearray(b'\x9e\x90\x80\x01\x94\x01I\x03\xfd\xff\xe7\xff\x00\x00\xa6\xff\x81\xff(\x00')
345, -28508, 2, 2,                 386, 404, 840,                -4, -25, 0,                -88, -130, 40,                bytearray(b'\xa4\x90\x82\x01\x94\x01H\x03\xfc\xff\xe7\xff\x00\x00\xa8\xff~\xff(\x00')
346, -28502, 2, 2,                 386, 404, 839,                -3, -25, 0,                -79, -132, 39,                bytearray(b"\xaa\x90\x82\x01\x94\x01G\x03\xfd\xff\xe7\xff\x00\x00\xb1\xff|\xff\'\x00")
347, -28495, 2, 2,                 385, 403, 841,                -4, -25, 0,                -79, -136, 42,                bytearray(b'\xb1\x90\x81\x01\x93\x01I\x03\xfc\xff\xe7\xff\x00\x00\xb1\xffx\xff*\x00')
348, -28489, 2, 2,                 384, 402, 841,                -4, -25, 0,                -85, -136, 45,                bytearray(b'\xb7\x90\x80\x01\x92\x01I\x03\xfc\xff\xe7\xff\x00\x00\xab\xffx\xff-\x00')
349, -28483, 2, 2,                 387, 403, 840,                -4, -25, 0,                -94, -124, 34,                bytearray(b'\xbd\x90\x83\x01\x93\x01H\x03\xfc\xff\xe7\xff\x00\x00\xa2\xff\x84\xff"\x00')
350, -28477, 2, 2,                 386, 403, 840,                -3, -25, 0,                -79, -130, 42,                bytearray(b'\xc3\x90\x82\x01\x93\x01H\x03\xfd\xff\xe7\xff\x00\x00\xb1\xff~\xff*\x00')
351, -28470, 2, 2,                 383, 404, 840,                -4, -25, 0,                -94, -130, 46,                bytearray(b'\xca\x90\x7f\x01\x94\x01H\x03\xfc\xff\xe7\xff\x00\x00\xa2\xff~\xff.\x00')
352, -28464, 2, 2,                 384, 403, 841,                -4, -25, 0,                -91, -126, 40,                bytearray(b'\xd0\x90\x80\x01\x93\x01I\x03\xfc\xff\xe7\xff\x00\x00\xa5\xff\x82\xff(\x00')
353, -28458, 2, 2,                 384, 402, 842,                -4, -25, 0,                -84, -130, 46,                bytearray(b'\xd6\x90\x80\x01\x92\x01J\x03\xfc\xff\xe7\xff\x00\x00\xac\xff~\xff.\x00')
